checksum,evidence_checksum,profile,profile_label,pareto_optimal,constraint_status,domain,existing_units,additional_units,total_units,unit_label,unit_cost_usd,added_cost_usd,evidence_records,evidence_source,evidence_strength,residual_need,normalized_yield,marginal_multiplier,normalized_information,normalized_equity,normalized_intervention,normalized_reliability,incremental_composite,portfolio_score,portfolio_added_cost_usd,portfolio_uncommitted_usd,portfolio_worst_domain_benefit,portfolio_balance_gap
8dae467f,7550f884,balanced,Balanced,true,feasible,heat,9,4,13,monitor package,3000,12000,1,illustrative-controlled,0.4463999999999999,0.58,1.08,1.1202488964352,0.7095067960291117,0.7222182278286514,0.6471019295785383,0.850914746201895,0.11949033110945977,1.0754021739512922,57000,0,0.6440294650824999,0.10324466368075391
8dae467f,7550f884,balanced,Balanced,true,feasible,air,5,2,7,calibrated station package,8000,16000,1,illustrative-controlled,0.3782,0.74,1.16,1.1564659570656,0.7988730474134906,0.6393105041980133,0.6257921499470769,0.7525623819415977,0.11294022080651117,1.0754021739512922,57000,0,0.6440294650824999,0.10324466368075391
8dae467f,7550f884,balanced,Balanced,true,feasible,soil,22,12,34,sample + laboratory package,750,9000,1,illustrative-controlled,0.4092,0.46,0.8799999999999999,1.0506104190592,0.6993565904961139,0.676640313237651,0.7825042729997819,0.9411788391249206,0.11510877734964771,1.0754021739512922,57000,0,0.6440294650824999,0.10324466368075391
8dae467f,7550f884,balanced,Balanced,true,feasible,water,6,4,10,station or sampling package,5000,20000,1,illustrative-controlled,0.35339999999999994,0.69,1.04,1.1180223517408,0.7402129765651072,0.6113708425590563,0.744701699417324,0.7944261874234427,0.18178444732701057,1.0754021739512922,57000,0,0.6440294650824999,0.10324466368075391
8dae467f,7550f884,information,Maximum Information,true,feasible,heat,9,4,13,monitor package,3000,12000,1,illustrative-controlled,0.4463999999999999,0.58,1.08,1.1202488964352,0.7095067960291117,0.7222182278286514,0.6471019295785383,0.850914746201895,0.11949033110945977,1.0037813618888902,57000,0,0.6440294650824999,0.10324466368075391
8dae467f,7550f884,information,Maximum Information,true,feasible,air,5,2,7,calibrated station package,8000,16000,1,illustrative-controlled,0.3782,0.74,1.16,1.1564659570656,0.7988730474134906,0.6393105041980133,0.6257921499470769,0.7525623819415977,0.11294022080651117,1.0037813618888902,57000,0,0.6440294650824999,0.10324466368075391
8dae467f,7550f884,information,Maximum Information,true,feasible,soil,22,12,34,sample + laboratory package,750,9000,1,illustrative-controlled,0.4092,0.46,0.8799999999999999,1.0506104190592,0.6993565904961139,0.676640313237651,0.7825042729997819,0.9411788391249206,0.11510877734964771,1.0037813618888902,57000,0,0.6440294650824999,0.10324466368075391
8dae467f,7550f884,information,Maximum Information,true,feasible,water,6,4,10,station or sampling package,5000,20000,1,illustrative-controlled,0.35339999999999994,0.69,1.04,1.1180223517408,0.7402129765651072,0.6113708425590563,0.744701699417324,0.7944261874234427,0.18178444732701057,1.0037813618888902,57000,0,0.6440294650824999,0.10324466368075391
8dae467f,7550f884,exposure,Exposure Protection,true,feasible,heat,9,4,13,monitor package,3000,12000,1,illustrative-controlled,0.4463999999999999,0.58,1.08,1.1202488964352,0.7095067960291117,0.7222182278286514,0.6471019295785383,0.850914746201895,0.11949033110945977,1.0063497019807144,57000,0,0.6440294650824999,0.10324466368075391
8dae467f,7550f884,exposure,Exposure Protection,true,feasible,air,5,2,7,calibrated station package,8000,16000,1,illustrative-controlled,0.3782,0.74,1.16,1.1564659570656,0.7988730474134906,0.6393105041980133,0.6257921499470769,0.7525623819415977,0.11294022080651117,1.0063497019807144,57000,0,0.6440294650824999,0.10324466368075391
8dae467f,7550f884,exposure,Exposure Protection,true,feasible,soil,22,12,34,sample + laboratory package,750,9000,1,illustrative-controlled,0.4092,0.46,0.8799999999999999,1.0506104190592,0.6993565904961139,0.676640313237651,0.7825042729997819,0.9411788391249206,0.11510877734964771,1.0063497019807144,57000,0,0.6440294650824999,0.10324466368075391
8dae467f,7550f884,exposure,Exposure Protection,true,feasible,water,6,4,10,station or sampling package,5000,20000,1,illustrative-controlled,0.35339999999999994,0.69,1.04,1.1180223517408,0.7402129765651072,0.6113708425590563,0.744701699417324,0.7944261874234427,0.18178444732701057,1.0063497019807144,57000,0,0.6440294650824999,0.10324466368075391
8dae467f,7550f884,equity,Equity First,true,feasible,heat,9,4,13,monitor package,3000,12000,1,illustrative-controlled,0.4463999999999999,0.58,1.08,1.1202488964352,0.7095067960291117,0.7222182278286514,0.6471019295785383,0.850914746201895,0.11949033110945977,1.108362368369946,57000,0,0.6731219229476909,0.04455635878182507
8dae467f,7550f884,equity,Equity First,true,feasible,air,5,3,8,calibrated station package,8000,24000,1,illustrative-controlled,0.3782,0.74,1.16,1.1564659570656,0.8459385020953593,0.6877985350285583,0.6666932544236635,0.7999364025769096,0.1559605086435636,1.108362368369946,57000,0,0.6731219229476909,0.04455635878182507
