checksum,profile,profile_label,pareto_optimal,domain,units,unit_label,unit_cost_usd,committed_cost_usd,budget_share,normalized_information,normalized_exposure,normalized_equity,normalized_ecology,normalized_intervention,normalized_reliability,normalized_composite,portfolio_score,portfolio_committed_cost_usd,portfolio_worst_domain_benefit,portfolio_balance_gap
6c496444,balanced,Balanced,false,heat,9,monitor package,3000,27000,0.23788546255506607,0.5241176765171028,0.6228858299346381,0.4917658547616438,0.34903118804461153,0.4671483638522003,0.7285401415192078,0.5305815091049008,0.6009457857573021,113500,0.44769740862616564,0.13658094936011683
6c496444,balanced,Balanced,false,air,5,calibrated station package,8000,40000,0.3524229074889868,0.5407956812327832,0.49417856890607204,0.403434675481128,0.19116570466981203,0.43184370008566897,0.6247661213815293,0.44769740862616564,0.6009457857573021,113500,0.44769740862616564,0.13658094936011683
6c496444,balanced,Balanced,false,soil,22,sample + laboratory package,750,16500,0.14537444933920704,0.5302203586940141,0.3746866818316182,0.4860251736615928,0.6976112876732784,0.5777432156140222,0.8393834304431694,0.5842783579862825,0.6009457857573021,113500,0.44769740862616564,0.13658094936011683
6c496444,balanced,Balanced,false,water,6,station or sampling package,5000,30000,0.2643171806167401,0.45528952875638024,0.37188176373860893,0.3584747681519963,0.4621250127595658,0.4605963544886659,0.602933404843538,0.4518834721231258,0.6009457857573021,113500,0.44769740862616564,0.13658094936011683
6c496444,information,Maximum Information,true,heat,8,monitor package,3000,24000,0.21145374449339208,0.4863526588916699,0.5813165142112084,0.45375118996336394,0.3212273006076739,0.4334882394469231,0.6843659046430964,0.493416967960656,0.5544518824137994,113500,0.44769740862616564,0.18200953697661998
6c496444,information,Maximum Information,true,air,5,calibrated station package,8000,40000,0.3524229074889868,0.5407956812327832,0.49417856890607204,0.403434675481128,0.19116570466981203,0.43184370008566897,0.6247661213815293,0.44769740862616564,0.5544518824137994,113500,0.44769740862616564,0.18200953697661998
6c496444,information,Maximum Information,true,soil,26,sample + laboratory package,750,19500,0.17180616740088106,0.5771560699765781,0.41148153833819745,0.5313837669113308,0.7469808171735446,0.6258166690347118,0.885422812182351,0.6297069456027856,0.5544518824137994,113500,0.44769740862616564,0.18200953697661998
6c496444,information,Maximum Information,true,water,6,station or sampling package,5000,30000,0.2643171806167401,0.45528952875638024,0.37188176373860893,0.3584747681519963,0.4621250127595658,0.4605963544886659,0.602933404843538,0.4518834721231258,0.5544518824137994,113500,0.44769740862616564,0.18200953697661998
6c496444,exposure,Exposure Protection,false,heat,9,monitor package,3000,27000,0.23788546255506607,0.5241176765171028,0.6228858299346381,0.4917658547616438,0.34903118804461153,0.4671483638522003,0.7285401415192078,0.5305815091049008,0.5498911068985118,113500,0.44769740862616564,0.13658094936011683
6c496444,exposure,Exposure Protection,false,air,5,calibrated station package,8000,40000,0.3524229074889868,0.5407956812327832,0.49417856890607204,0.403434675481128,0.19116570466981203,0.43184370008566897,0.6247661213815293,0.44769740862616564,0.5498911068985118,113500,0.44769740862616564,0.13658094936011683
6c496444,exposure,Exposure Protection,false,soil,22,sample + laboratory package,750,16500,0.14537444933920704,0.5302203586940141,0.3746866818316182,0.4860251736615928,0.6976112876732784,0.5777432156140222,0.8393834304431694,0.5842783579862825,0.5498911068985118,113500,0.44769740862616564,0.13658094936011683
6c496444,exposure,Exposure Protection,false,water,6,station or sampling package,5000,30000,0.2643171806167401,0.45528952875638024,0.37188176373860893,0.3584747681519963,0.4621250127595658,0.4605963544886659,0.602933404843538,0.4518834721231258,0.5498911068985118,113500,0.44769740862616564,0.13658094936011683
6c496444,equity,Equity First,false,heat,9,monitor package,3000,27000,0.23788546255506607,0.5241176765171028,0.6228858299346381,0.4917658547616438,0.34903118804461153,0.4671483638522003,0.7285401415192078,0.5305815091049008,0.6088069997598323,113500,0.44769740862616564,0.13658094936011683
6c496444,equity,Equity First,false,air,5,calibrated station package,8000,40000,0.3524229074889868,0.5407956812327832,0.49417856890607204,0.403434675481128,0.19116570466981203,0.43184370008566897,0.6247661213815293,0.44769740862616564,0.6088069997598323,113500,0.44769740862616564,0.13658094936011683
